BUTIKKLOKALE_ID;KUNDENUMMER;KUNDENAVN;LEVERING_DT_TD;STOPPTID_LAGER;RUTE_ID;LEVERANSE_ID
22 984;639 963;KIWI 141 Meierikvartalet;11.04.2019 08:30:00;10.31.2019 21:00:00;6991;316771
22 984;639 963;KIWI 141 Meierikvartalet;11.05.2019 12:30:00;11.01.2019 10:00:00;1992;316775
22 984;639 963;KIWI 141 Meierikvartalet;11.06.2019 13:00:00;11.04.2019 09:00:00;2992;316776
22 984;639 963;KIWI 141 Meierikvartalet;11.07.2019 13:00:00;11.05.2019 09:00:00;3992;316777
22 984;639 963;KIWI 141 Meierikvartalet;11.08.2019 12:00:00;11.06.2019 09:00:00;4992;316786
3 325;383 711;Kiwi 101 Oppdal;11.04.2019 09:00:00;11.01.2019 09:00:00;1113;13716
3 325;383 711;Kiwi 101 Oppdal;11.05.2019 09:00:00;11.03.2019 21:00:00;2122;14293
3 325;383 711;Kiwi 101 Oppdal;11.06.2019 08:30:00;11.04.2019 21:00:00;3117;14506
3 325;383 711;Kiwi 101 Oppdal;11.07.2019 09:00:00;11.05.2019 21:00:00;4105;14547
3 325;383 711;Kiwi 101 Oppdal;11.08.2019 09:00:00;11.06.2019 21:00:00;5106;14985
4 520;383 877;Kiwi 102 Røros;11.04.2019 10:30:00;11.01.2019 09:00:00;1123;29126
4 520;383 877;Kiwi 102 Røros;11.05.2019 09:00:00;11.03.2019 21:00:00;2117;14268
4 520;383 877;Kiwi 102 Røros;11.06.2019 17:00:00;11.05.2019 10:00:00;3899;73959
4 520;383 877;Kiwi 102 Røros;11.07.2019 10:30:00;11.05.2019 21:00:00;4107;14663
4 520;383 877;Kiwi 102 Røros;11.08.2019 18:05:00;11.07.2019 10:00:00;5598;13979
4 557;384 867;Kiwi 104 Moholt;11.04.2019 12:30:00;11.01.2019 13:00:00;1235;13841
4 557;384 867;Kiwi 104 Moholt;11.05.2019 08:00:00;11.03.2019 21:00:00;2110;14181
4 557;384 867;Kiwi 104 Moholt;11.06.2019 08:30:00;11.04.2019 21:00:00;3125;15939
