customer code	Clientnr	Name of customer	ATT	Street	Zipcode	City	X co-ordinate network location	Y co-ordinate network location	Fixed loading time	Var. loading time per pallet	Fixed unloading time	Var. unloading time per pallet	Start first time window day 0	End first time window day 0	Start first time window day 1	End first time window day 1	Start first time window day 2	End first time window day 2	Start first time window day 3	End first time window day 3	Start first time window day 4	End first time window day 4	Start first time window day 5	End first time window day 5	Deliverydate	Latest delivery date	All depots admitted	Pallets collect	Pallets deliver	ID for obliged group delivery	Division name	Depot 1	id_cwbMasterVisit	cutOff	Kg deliver	Cubics deliver	Address_code	addresskindname	active	id_cwbVisit	id_cwbMasterVisitProduct	deliveryId	NoOfHistoricalWeeks	NoOfRealizedDeliveries	HistoricalFrequency
207472	87798D1	Bunnpris Lerkendal	FRYS	Dybdahls veg	7051	Trondheim	10.4142043	63.41354	5	0.02	10	0.02			08:15	10:15									20010102	20010102	0		130		ASKO_MIDT-NORGE	741	87798	W:0 - D:7 - 21:00	442	1692	207472	DAGLIGVARE	1	134174	300073	104476	6	4	0.67
207472	97348D1	Bunnpris Lerkendal	FRYS	Dybdahls veg	7051	Trondheim	10.4142043	63.41354	5	0.02	10	0.02							11:00	13:00					20010104	20010104	0		30		ASKO_MIDT-NORGE	741	97348	W:0 - D:3 - 10:00	56	183	207472	DAGLIGVARE	1	134173	330412	104526	6	3	0.5
207472	87799D1	Bunnpris Lerkendal	FRYS	Dybdahls veg	7051	Trondheim	10.4142043	63.41354	5	0.02	10	0.02									08:00	10:00			20010105	20010105	0		40		ASKO_MIDT-NORGE	741	87799	W:0 - D:3 - 21:00	96	431	207472	DAGLIGVARE	1	134175	300077	104563	6	3	0.5
207472	87798D1	Bunnpris Lerkendal	KJØL	Dybdahls veg	7051	Trondheim	10.4142043	63.41354	5	0.02	10	0.02			08:15	10:15									20010102	20010102	0		110		ASKO_MIDT-NORGE	741	87798	W:0 - D:7 - 21:00	302	831	207472	DAGLIGVARE	1	134174	300074	104476	6	4	0.67
207472	97348D1	Bunnpris Lerkendal	KJØL	Dybdahls veg	7051	Trondheim	10.4142043	63.41354	5	0.02	10	0.02							11:00	13:00					20010104	20010104	0		100		ASKO_MIDT-NORGE	741	97348	W:0 - D:3 - 10:00	268	636	207472	DAGLIGVARE	1	134173	330413	104526	6	3	0.5
207472	87799D1	Bunnpris Lerkendal	KJØL	Dybdahls veg	7051	Trondheim	10.4142043	63.41354	5	0.02	10	0.02									08:00	10:00			20010105	20010105	0		30		ASKO_MIDT-NORGE	741	87799	W:0 - D:3 - 21:00	71	185	207472	DAGLIGVARE	1	134175	300078	104563	6	3	0.5
207472	87798D1	Bunnpris Lerkendal	Norfersk	Dybdahls veg	7051	Trondheim	10.4142043	63.41354	5	0.02	10	0.02			08:15	10:15									20010102	20010102	0		1		ASKO_MIDT-NORGE	741	87798	W:0 - D:6 - 12:00			207472	DAGLIGVARE	1	134174	300075	104476	6	4	0.67
207472	97348D1	Bunnpris Lerkendal	Norfersk	Dybdahls veg	7051	Trondheim	10.4142043	63.41354	5	0.02	10	0.02							11:00	13:00					20010104	20010104	0		1		ASKO_MIDT-NORGE	741	97348	W:0 - D:2 - 12:00			207472	DAGLIGVARE	1	134173	330414	104526	6	3	0.5
207472	87799D1	Bunnpris Lerkendal	Norfersk	Dybdahls veg	7051	Trondheim	10.4142043	63.41354	5	0.02	10	0.02									08:00	10:00			20010105	20010105	0		1		ASKO_MIDT-NORGE	741	87799	W:0 - D:3 - 12:00			207472	DAGLIGVARE	1	134175	300079	104563	6	3	0.5
207472	87798D1	Bunnpris Lerkendal	TØRR	Dybdahls veg	7051	Trondheim	10.4142043	63.41354	5	0.02	10	0.02			08:15	10:15									20010102	20010102	0		250		ASKO_MIDT-NORGE	741	87798	W:0 - D:7 - 21:00	1035	2663	207472	DAGLIGVARE	1	134174	300076	104476	6	4	0.67
