KUNDENUMMER	KUNDENAVN	VARESTROM	Produktnavn	Atributt	Frekv eks Bama	Frekvens varestrøm	Min Frekvens	Maks Frekvens	PROGNOSE_FP	PROGNOSE_DP	PROGNOSE_M3
202853	SPAR Drangedal	QTRANSITT	QTRANSITT 	Volumsplitt	4	4	3	4	342	26	0.53
202853	SPAR Drangedal	RLFRYS	RLFRYS 	Volumsplitt	4	3	2	3	1737	164	3.48
202853	SPAR Drangedal	RLKJOL	RLKJOL 	Volumsplitt	4	4	3	4	1795	187	1.95
202853	SPAR Drangedal	RLTORR	RLTORR 	Volumsplitt	4	4	2	4	498	4	1.5
202853	SPAR Drangedal	RLTORR	RLTORR RLTO1	Sone	4	4	1	1	3647	386	7.39
202853	SPAR Drangedal	RLTORR	RLTORR RLTO2	Sone	4	4	1	1	1905	131	1.34
202853	SPAR Drangedal	RLTORR	RLTORR RLTO3	Sone	4	4	1	1	4210	332	7.64
202853	SPAR Drangedal	SENTRALPAKK	SENTRALPAKK 	Volumsplitt	4	4	3	4	35	8	0.07
202853	SPAR Drangedal	SLKJOL	SLKJOL 	Volumsplitt	4	4	3	4	3715	427	5.6
202853	SPAR Drangedal	SLTORR	SLTORR 	Volumsplitt	4	3	2	3	2766	257	1.18
228072	Kiwi 558 Nanset	QTRANSITT	QTRANSITT 	Volumsplitt	5	5	4	5	1414	89	2.91
228072	Kiwi 558 Nanset	RLFRYS	RLFRYS 	Volumsplitt	5	3	2	3	4094	434	8.2
228072	Kiwi 558 Nanset	RLKJOL	RLKJOL 	Volumsplitt	5	5	4	5	4044	426	4.45
228072	Kiwi 558 Nanset	RLTORR	RLTORR 	Volumsplitt	5	5	2	5	72	11	0.24
228072	Kiwi 558 Nanset	RLTORR	RLTORR RLTO1	Sone	5	5	1	1	5544	437	8.87
228072	Kiwi 558 Nanset	RLTORR	RLTORR RLTO2	Sone	5	5	1	1	3390	374	10.49
228072	Kiwi 558 Nanset	RLTORR	RLTORR RLTO3	Sone	5	5	1	1	2916	216	2.44
228072	Kiwi 558 Nanset	RLTORR	RLTORR RLTO4	Sone	5	5	1	1	5460	469	7.71
228072	Kiwi 558 Nanset	RLTORR	RLTORR RLTO5	Sone	5	5	1	1	2966	257	5.12
228072	Kiwi 558 Nanset	RLTORR	RLTORR 	Volumsplitt	5	5	2	5	2	0	0
228072	Kiwi 558 Nanset	RLTORR	RLTORR 	Volumsplitt	5	5	2	5	1464	8	4.32
228072	Kiwi 558 Nanset	SENTRALPAKK	SENTRALPAKK 	Volumsplitt	5	5	4	5	225	45	0.42
228072	Kiwi 558 Nanset	SLKJOL	SLKJOL 	Volumsplitt	5	5	4	5	116	1	0.22
228072	Kiwi 558 Nanset	SLKJOL	SLKJOL 	Volumsplitt	5	5	4	5	8422	984	12.46
228072	Kiwi 558 Nanset	SLTORR	SLTORR 	Volumsplitt	5	3	2	3	4193	384	1.5
245555	Kiwi 517 Hjemseng	QTRANSITT	QTRANSITT 	Volumsplitt	5	5	4	5	1455	102	2.41
245555	Kiwi 517 Hjemseng	RLFRYS	RLFRYS 	Volumsplitt	5	3	2	3	3178	331	6.53
245555	Kiwi 517 Hjemseng	RLKJOL	RLKJOL 	Volumsplitt	5	5	4	5	3406	363	3.68
245555	Kiwi 517 Hjemseng	RLTORR	RLTORR 	Volumsplitt	5	5	2	5	56	7	0.14
245555	Kiwi 517 Hjemseng	RLTORR	RLTORR RLTO1	Sone	5	5	1	1	3391	312	3.59
245555	Kiwi 517 Hjemseng	RLTORR	RLTORR RLTO2	Sone	5	5	1	1	6210	571	7.75
245555	Kiwi 517 Hjemseng	RLTORR	RLTORR RLTO3	Sone	5	5	1	1	3485	272	2.3
245555	Kiwi 517 Hjemseng	RLTORR	RLTORR RLTO4	Sone	5	5	1	1	2913	267	7.94
245555	Kiwi 517 Hjemseng	RLTORR	RLTORR RLTO5	Sone	5	5	1	1	1223	112	3.64
245555	Kiwi 517 Hjemseng	RLTORR	RLTORR 	Volumsplitt	5	5	2	5	1962	33	7.11
245555	Kiwi 517 Hjemseng	SENTRALPAKK	SENTRALPAKK 	Volumsplitt	5	5	4	5	218	45	0.43
245555	Kiwi 517 Hjemseng	SLKJOL	SLKJOL 	Volumsplitt	5	5	4	5	106	1	0.2
245555	Kiwi 517 Hjemseng	SLKJOL	SLKJOL 	Volumsplitt	5	5	4	5	7639	906	11.55
245555	Kiwi 517 Hjemseng	SLTORR	SLTORR 	Volumsplitt	5	3	2	3	3968	374	1.4
246165	KIWI 441 Skoppum	QTRANSITT	QTRANSITT 	Volumsplitt	5	5	4	5	675	46	1.14
246165	KIWI 441 Skoppum	RLFRYS	RLFRYS 	Volumsplitt	5	3	2	3	1827	186	3.64
246165	KIWI 441 Skoppum	RLKJOL	RLKJOL 	Volumsplitt	5	5	4	5	1774	188	2.02
246165	KIWI 441 Skoppum	RLTORR	RLTORR 	Volumsplitt	5	5	2	5	19	2	0.01
246165	KIWI 441 Skoppum	RLTORR	RLTORR RLTO1	Sone	5	5	1	1	1855	173	3.95
246165	KIWI 441 Skoppum	RLTORR	RLTORR RLTO2	Sone	5	5	1	1	3344	256	4.14
246165	KIWI 441 Skoppum	RLTORR	RLTORR RLTO3	Sone	5	5	1	1	414	45	0.22
246165	KIWI 441 Skoppum	RLTORR	RLTORR RLTO4	Sone	5	5	1	1	2289	240	4.4
246165	KIWI 441 Skoppum	RLTORR	RLTORR RLTO5	Sone	5	5	1	1	889	85	1.25
246165	KIWI 441 Skoppum	RLTORR	RLTORR 	Volumsplitt	5	5	2	5	698	11	2.68
