KUNDENUMMER,KUNDENAVN,LEVERANSE_LNR,VARESTROM,VARESTROM_LNR,UKEDAG_FRA,KLOKKESLETT_FRA,UKEDAG_TIL,KLOKKESLETT_TIL,FREKVENS,STARTUKE,BESTILLINGSFRISTDAG,BESTILLINGSFRISTTID,STOPPDAG,STOPPTID,LEVERANSE_ID,ORDREUTSENDELSEDAG,SPESIALISERT_BIL,U_LATITUDE,U_LONGITUDE
202853,SPAR Drangedal,2044661,BAMATRANSITT,34,1,09:30:00,1,11:30:00,1,0,4,22:00:00,4,23:00:00,72959,4,0,59.088482694825200,9.06568619075755
202853,SPAR Drangedal,2044660,BAMATRANSITT,34,2,09:30:00,2,11:30:00,1,0,7,22:00:00,7,23:00:00,72960,5,0,59.088482694825200,9.06568619075755
202853,SPAR Drangedal,2044662,BAMATRANSITT,34,4,09:30:00,4,11:30:00,1,0,2,22:00:00,2,23:00:00,72962,2,0,59.088482694825200,9.06568619075755
202853,SPAR Drangedal,2044663,BAMATRANSITT,34,5,09:30:00,5,11:30:00,1,0,3,22:00:00,3,23:00:00,72963,3,0,59.088482694825200,9.06568619075755
202853,SPAR Drangedal,2044661,QTRANSITT,33,1,09:30:00,1,11:30:00,1,0,4,22:00:00,4,23:00:00,72959,4,0,59.088482694825200,9.06568619075755
202853,SPAR Drangedal,2044660,QTRANSITT,33,2,09:30:00,2,11:30:00,1,0,7,22:00:00,7,23:00:00,72960,5,0,59.088482694825200,9.06568619075755
202853,SPAR Drangedal,2044662,QTRANSITT,33,4,09:30:00,4,11:30:00,1,0,2,22:00:00,2,23:00:00,72962,2,0,59.088482694825200,9.06568619075755
202853,SPAR Drangedal,2044663,QTRANSITT,33,5,09:30:00,5,11:30:00,1,0,3,22:00:00,3,23:00:00,72963,3,0,59.088482694825200,9.06568619075755
202853,SPAR Drangedal,2044660,RLFRYS,27,2,09:30:00,2,11:30:00,1,0,7,22:00:00,7,23:00:00,72960,5,0,59.088482694825200,9.06568619075755
202853,SPAR Drangedal,2044662,RLFRYS,27,4,09:30:00,4,11:30:00,1,0,2,22:00:00,2,23:00:00,72962,2,0,59.088482694825200,9.06568619075755
202853,SPAR Drangedal,2044663,RLFRYS,27,5,09:30:00,5,11:30:00,1,0,3,22:00:00,3,23:00:00,72963,3,0,59.088482694825200,9.06568619075755
202853,SPAR Drangedal,2044661,RLKJOL,26,1,09:30:00,1,11:30:00,1,0,4,22:00:00,4,23:00:00,72959,4,0,59.088482694825200,9.06568619075755
202853,SPAR Drangedal,2044660,RLKJOL,26,2,09:30:00,2,11:30:00,1,0,7,22:00:00,7,23:00:00,72960,5,0,59.088482694825200,9.06568619075755
202853,SPAR Drangedal,2044662,RLKJOL,26,4,09:30:00,4,11:30:00,1,0,2,22:00:00,2,23:00:00,72962,2,0,59.088482694825200,9.06568619075755
202853,SPAR Drangedal,2044663,RLKJOL,26,5,09:30:00,5,11:30:00,1,0,3,22:00:00,3,23:00:00,72963,3,0,59.088482694825200,9.06568619075755
202853,SPAR Drangedal,2044661,RLTORR,25,1,09:30:00,1,11:30:00,1,0,4,22:00:00,4,23:00:00,72959,4,0,59.088482694825200,9.06568619075755
202853,SPAR Drangedal,2044660,RLTORR,25,2,09:30:00,2,11:30:00,1,0,7,22:00:00,7,23:00:00,72960,5,0,59.088482694825200,9.06568619075755
202853,SPAR Drangedal,2044662,RLTORR,25,4,09:30:00,4,11:30:00,1,0,2,22:00:00,2,23:00:00,72962,2,0,59.088482694825200,9.06568619075755
202853,SPAR Drangedal,2044663,RLTORR,25,5,09:30:00,5,11:30:00,1,0,3,22:00:00,3,23:00:00,72963,3,0,59.088482694825200,9.06568619075755
202853,SPAR Drangedal,2044661,SENTRALPAKK,22,1,09:30:00,1,11:30:00,1,0,4,22:00:00,4,23:00:00,72959,4,0,59.088482694825200,9.06568619075755
202853,SPAR Drangedal,2044660,SENTRALPAKK,22,2,09:30:00,2,11:30:00,1,0,7,22:00:00,7,23:00:00,72960,5,0,59.088482694825200,9.06568619075755
202853,SPAR Drangedal,2044662,SENTRALPAKK,22,4,09:30:00,4,11:30:00,1,0,2,22:00:00,2,23:00:00,72962,2,0,59.088482694825200,9.06568619075755
202853,SPAR Drangedal,2044663,SENTRALPAKK,22,5,09:30:00,5,11:30:00,1,0,3,22:00:00,3,23:00:00,72963,3,0,59.088482694825200,9.06568619075755
202853,SPAR Drangedal,2044660,SLFRYS,30,2,09:30:00,2,11:30:00,1,0,7,22:00:00,7,23:00:00,72960,5,0,59.088482694825200,9.06568619075755
202853,SPAR Drangedal,2044662,SLFRYS,30,4,09:30:00,4,11:30:00,1,0,2,22:00:00,2,23:00:00,72962,2,0,59.088482694825200,9.06568619075755
202853,SPAR Drangedal,2044663,SLFRYS,30,5,09:30:00,5,11:30:00,1,0,3,22:00:00,3,23:00:00,72963,3,0,59.088482694825200,9.06568619075755
202853,SPAR Drangedal,2044661,SLKJOL,29,1,09:30:00,1,11:30:00,1,0,4,22:00:00,4,23:00:00,72959,4,0,59.088482694825200,9.06568619075755
202853,SPAR Drangedal,2044660,SLKJOL,29,2,09:30:00,2,11:30:00,1,0,7,22:00:00,7,23:00:00,72960,5,0,59.088482694825200,9.06568619075755
202853,SPAR Drangedal,2044662,SLKJOL,29,4,09:30:00,4,11:30:00,1,0,2,22:00:00,2,23:00:00,72962,2,0,59.088482694825200,9.06568619075755
202853,SPAR Drangedal,2044663,SLKJOL,29,5,09:30:00,5,11:30:00,1,0,3,22:00:00,3,23:00:00,72963,3,0,59.088482694825200,9.06568619075755
202853,SPAR Drangedal,2044661,SLTORR,28,1,09:30:00,1,11:30:00,1,0,4,22:00:00,4,23:00:00,72959,4,0,59.088482694825200,9.06568619075755
202853,SPAR Drangedal,2044660,SLTORR,28,2,09:30:00,2,11:30:00,1,0,7,22:00:00,7,23:00:00,72960,5,0,59.088482694825200,9.06568619075755
202853,SPAR Drangedal,2044662,SLTORR,28,4,09:30:00,4,11:30:00,1,0,2,22:00:00,2,23:00:00,72962,2,0,59.088482694825200,9.06568619075755
228072,Kiwi 558 Nanset,2036665,BAMATRANSITT,34,1,06:30:00,1,08:30:00,1,0,4,22:00:00,4,23:00:00,92336,4,1,59.066059094010000,10.041864919506400
228072,Kiwi 558 Nanset,2036660,BAMATRANSITT,34,1,15:00:00,1,17:00:00,1,1,5,16:00:00,5,17:00:00,81509,5,0,59.066059094010000,10.041864919506400
